Date,Time,CuMeters,Flow_Scaled,Water_Level
8/07/2019,6:00:00,214357,0,0
8/07/2019,6:15:00,214357,0,0
8/07/2019,6:30:00,214357,0,0
8/07/2019,6:45:00,214357,0,0
8/07/2019,7:00:00,214357,0,0
8/07/2019,7:15:00,214357,0,0
8/07/2019,7:30:00,214357,0,0
8/07/2019,7:45:00,214357,0,0
8/07/2019,8:00:00,214357,0,0
8/07/2019,8:15:00,214357,0,0
8/07/2019,8:30:00,214357,0,0
8/07/2019,8:45:00,214357,0,0
8/07/2019,9:00:00,214357,0,0
8/07/2019,9:15:00,214357,0,0
8/07/2019,9:30:00,214357,0,0
8/07/2019,9:45:00,214357,0,0
8/07/2019,10:00:00,214357,0,0
8/07/2019,10:15:00,214357,0,0
8/07/2019,10:30:00,214357,0,0
8/07/2019,10:45:00,214357,0,0
8/07/2019,11:00:00,214357,0,0
8/07/2019,11:15:00,214357,0,0
8/07/2019,11:30:00,214357,0,0
8/07/2019,11:45:00,214357,0,0
8/07/2019,12:00:00,214357,0,0
8/07/2019,12:15:00,214357,0,0
8/07/2019,12:30:00,214357,0,0
8/07/2019,12:45:00,214357,0,0
8/07/2019,13:00:00,214357,0,0
8/07/2019,13:15:00,214357,0,0
8/07/2019,13:30:00,214357,0,0
8/07/2019,13:45:00,214357,0,0
8/07/2019,14:00:00,214357,0,0
8/07/2019,14:15:00,214357,0,0
8/07/2019,14:30:00,214357,0,0
8/07/2019,14:45:00,214357,0,0
8/07/2019,15:00:00,214357,0,0
8/07/2019,15:15:00,214357,0,0
8/07/2019,15:30:00,214357,0,0
8/07/2019,15:45:00,214357,0,0
8/07/2019,16:00:00,214357,0,0
8/07/2019,16:15:00,214357,0,0
8/07/2019,16:30:00,214357,0,0
8/07/2019,16:45:00,214357,0,0
8/07/2019,17:00:00,214357,0,0
8/07/2019,17:15:00,214357,0,0
8/07/2019,17:30:00,214357,0,0
8/07/2019,17:45:00,214357,0,0
8/07/2019,18:00:00,214357,0,0
8/07/2019,18:15:00,214357,0,0
8/07/2019,18:30:00,214357,0,0
8/07/2019,18:45:00,214357,0,0
8/07/2019,19:00:00,214357,0,0
8/07/2019,19:15:00,214357,0,0
8/07/2019,19:30:00,214357,0,0
8/07/2019,19:45:00,214357,0,0
8/07/2019,20:00:00,214357,0,0
8/07/2019,20:15:00,214357,0,0
8/07/2019,20:30:00,214357,0,0
8/07/2019,20:45:00,214357,0,0
8/07/2019,21:00:00,214357,0,0
8/07/2019,21:15:00,214357,0,0
8/07/2019,21:30:00,214357,0,0
8/07/2019,21:45:00,214357,0,0
8/07/2019,22:00:00,214357,0,0
8/07/2019,22:15:00,214357,0,0
8/07/2019,22:30:00,214357,0,0
8/07/2019,22:45:00,214357,0,0
8/07/2019,23:00:00,214357,0,0
8/07/2019,23:15:00,214357,0,0
8/07/2019,23:30:00,214357,0,0
8/07/2019,23:45:00,214357,0,0
9/07/2019,0:00:00,214357,0,0
9/07/2019,0:15:00,214357,0,0
9/07/2019,0:30:00,214357,0,0
9/07/2019,0:45:00,214357,0,0
9/07/2019,1:00:00,214357,0,0
9/07/2019,1:15:00,214357,0,0
9/07/2019,1:30:00,214357,0,0
9/07/2019,1:45:00,214357,0,0
9/07/2019,2:00:00,214357,0,0
9/07/2019,2:15:00,214357,0,0
9/07/2019,2:30:00,214357,0,0
9/07/2019,2:45:00,214357,0,0
9/07/2019,3:00:00,214357,0,0
9/07/2019,3:15:00,214357,0,0
9/07/2019,3:30:00,214357,0,0
9/07/2019,3:45:00,214357,0,0
9/07/2019,4:00:00,214357,0,0
9/07/2019,4:15:00,214357,0,0
9/07/2019,4:30:00,214357,0,0
9/07/2019,4:45:00,214357,0,0
9/07/2019,5:00:00,214357,0,0
9/07/2019,5:15:00,214357,0,0
9/07/2019,5:30:00,214357,0,0
9/07/2019,5:45:00,214357,0,0
9/07/2019,6:00:00,214357,0,0
9/07/2019,6:15:00,214357,0,0
9/07/2019,6:30:00,214357,0,0
9/07/2019,6:45:00,214357,0,0
9/07/2019,7:00:00,214357,0,0
9/07/2019,7:15:00,214357,0,0
9/07/2019,7:30:00,214357,0,0
9/07/2019,7:45:00,214357,0,0
9/07/2019,8:00:00,214357,0,0
9/07/2019,8:15:00,214357,0,0
9/07/2019,8:30:00,214357,0,0
9/07/2019,8:45:00,214357,0,0
9/07/2019,9:00:00,214357,0,0
9/07/2019,9:15:00,214357,0,0
9/07/2019,9:30:00,214357,0,0
9/07/2019,9:45:00,214357,0,0
9/07/2019,10:00:00,214357,0,0
9/07/2019,10:15:00,214357,0,0
9/07/2019,10:30:00,214357,0,0
9/07/2019,10:45:00,214357,0,0
9/07/2019,11:00:00,214357,0,0
9/07/2019,11:15:00,214357,0,0
9/07/2019,11:30:00,214357,0,0
9/07/2019,11:45:00,214357,0,0
9/07/2019,12:00:00,214357,0,0
9/07/2019,12:15:00,214357,0,0
9/07/2019,12:30:00,214357,0,0
9/07/2019,12:45:00,214357,0,0
9/07/2019,13:00:00,214357,0,0
9/07/2019,13:15:00,214357,0,0
9/07/2019,13:30:00,214357,0,0
9/07/2019,20:00:00,214357,0,0
9/07/2019,20:15:00,214357,0,0
9/07/2019,20:30:00,214357,0,0
9/07/2019,20:45:00,214357,0,0
9/07/2019,21:00:00,214357,0,0
9/07/2019,21:15:00,214357,0,0
9/07/2019,21:30:00,214357,0,0
9/07/2019,21:45:00,214357,0,0
9/07/2019,22:00:00,214357,0,0
9/07/2019,22:15:00,214357,0,0
9/07/2019,22:30:00,214357,0,0
9/07/2019,22:45:00,214357,0,0
9/07/2019,23:00:00,214357,0,0
9/07/2019,23:15:00,214357,0,0
9/07/2019,23:30:00,214357,0,0
9/07/2019,23:45:00,214357,0,0
10/07/2019,0:00:00,214357,0,0
10/07/2019,0:15:00,214357,0,0
10/07/2019,0:30:00,214357,0,0
10/07/2019,0:45:00,214357,0,0
10/07/2019,1:00:00,214357,0,0
10/07/2019,1:15:00,214357,0,0
10/07/2019,1:30:00,214357,0,0
10/07/2019,1:45:00,214357,0,0
10/07/2019,2:00:00,214357,0,0
10/07/2019,2:15:00,214357,0,0
10/07/2019,2:30:00,214357,0,0
10/07/2019,2:45:00,214357,0,0
10/07/2019,3:00:00,214357,0,0
10/07/2019,3:15:00,214357,0,0
10/07/2019,3:30:00,214357,0,0
10/07/2019,3:45:00,214357,0,0
10/07/2019,4:00:00,214357,0,0
10/07/2019,4:15:00,214357,0,0
10/07/2019,4:30:00,214357,0,0
10/07/2019,4:45:00,214357,0,0
10/07/2019,5:00:00,214357,0,0
10/07/2019,5:15:00,214357,0,0
10/07/2019,5:30:00,214357,0,0
10/07/2019,5:45:00,214357,0,0
10/07/2019,6:00:00,214357,0,0
10/07/2019,6:15:00,214357,0,0
10/07/2019,6:30:00,214357,0,0
10/07/2019,6:45:00,214357,0,0
10/07/2019,7:00:00,214357,0,0
10/07/2019,7:15:00,214357,0,0
10/07/2019,7:30:00,214357,0,0
10/07/2019,7:45:00,214357,0,0
10/07/2019,8:00:00,214357,0,0
10/07/2019,8:15:00,214357,0,0
10/07/2019,8:30:00,214357,0,0
10/07/2019,8:45:00,214357,0.001875,0
10/07/2019,9:00:00,214357,0,0
10/07/2019,9:15:00,214357,0,0
10/07/2019,9:30:00,214357,0,0
10/07/2019,9:45:00,214357,0,0
10/07/2019,10:00:00,214357,0,0
10/07/2019,10:15:00,214357,0,0
10/07/2019,10:30:00,214357,0,0
10/07/2019,10:45:00,214357,0,0
10/07/2019,11:00:00,214357,0,0
10/07/2019,11:15:00,214357,0,0
10/07/2019,11:30:00,214357,0,0
10/07/2019,11:45:00,214357,0,0
10/07/2019,12:00:00,214357,0,0
10/07/2019,12:15:00,214357,0,0
10/07/2019,12:30:00,214357,0,0
10/07/2019,12:45:00,214357,0,0
10/07/2019,13:00:00,214357,0,0
10/07/2019,13:15:00,214357,0,0
10/07/2019,13:30:00,214357,0,0
10/07/2019,13:45:00,214357,0,0
10/07/2019,14:00:00,214357,0,0
10/07/2019,14:15:00,214357,0,0
10/07/2019,14:30:00,214357,0,0
10/07/2019,14:45:00,214357,0,0
10/07/2019,15:00:00,214357,0,0
10/07/2019,15:15:00,214357,0,0
10/07/2019,15:30:00,214357,0,0
10/07/2019,15:45:00,214357,0,0
10/07/2019,16:00:00,214357,0,0
10/07/2019,16:15:00,214357,0,0
10/07/2019,16:30:00,214357,0,0
10/07/2019,16:45:00,214357,0,0
10/07/2019,17:00:00,214357,0,0
10/07/2019,17:15:00,214357,0,0
10/07/2019,17:30:00,214357,0,0
10/07/2019,17:45:00,214357,0,0
10/07/2019,18:00:00,214357,0,0
10/07/2019,18:15:00,214357,0,0
10/07/2019,18:30:00,214357,0,0
10/07/2019,18:45:00,214357,0,0
10/07/2019,19:00:00,214357,0,0
10/07/2019,19:15:00,214357,0,0
10/07/2019,19:30:00,214357,0,0
10/07/2019,19:45:00,214357,0,0
10/07/2019,20:00:00,214357,0,0
10/07/2019,20:15:00,214357,0,0
10/07/2019,20:30:00,214357,0,0
10/07/2019,20:45:00,214357,0,0
10/07/2019,21:00:00,214357,0,0
10/07/2019,21:15:00,214357,0,0
10/07/2019,21:30:00,214357,0,0
10/07/2019,21:45:00,214357,0,0
10/07/2019,22:00:00,214357,0,0
10/07/2019,22:15:00,214357,0,0
10/07/2019,22:30:00,214357,0,0
10/07/2019,22:45:00,214357,0,0
10/07/2019,23:00:00,214357,0,0
10/07/2019,23:15:00,214357,0,0
10/07/2019,23:30:00,214357,0,0
10/07/2019,23:45:00,214357,0,0
11/07/2019,0:00:00,214357,0,0
11/07/2019,0:15:00,214357,0,0
11/07/2019,0:30:00,214357,0,0
11/07/2019,0:45:00,214357,0,0
11/07/2019,1:00:00,214357,0,0
11/07/2019,1:15:00,214357,0,0
11/07/2019,1:30:00,214357,0,0
11/07/2019,1:45:00,214357,0,0
11/07/2019,2:00:00,214357,0,0
11/07/2019,2:15:00,214357,0,0
11/07/2019,2:30:00,214357,0,0
11/07/2019,2:45:00,214357,0,0
11/07/2019,3:00:00,214357,0,0
11/07/2019,3:15:00,214357,0,0
11/07/2019,3:30:00,214357,0,0
11/07/2019,3:45:00,214357,0,0
11/07/2019,4:00:00,214357,0,0
11/07/2019,4:15:00,214357,0,0
11/07/2019,4:30:00,214357,0,0
11/07/2019,4:45:00,214357,0,0
11/07/2019,5:00:00,214357,0,0
11/07/2019,5:15:00,214357,0,0
11/07/2019,5:30:00,214357,0,0
11/07/2019,5:45:00,214357,0,0
11/07/2019,6:00:00,214357,0,0
11/07/2019,6:15:00,214357,0,0
11/07/2019,6:30:00,214357,0,0
11/07/2019,6:45:00,214357,0,0
11/07/2019,7:00:00,214357,0,0
11/07/2019,7:15:00,214357,0,0
11/07/2019,7:30:00,214357,0,0
11/07/2019,7:45:00,214357,0,0
11/07/2019,8:00:00,214357,0,0
11/07/2019,8:15:00,214357,0,0
11/07/2019,8:30:00,214357,0,0
11/07/2019,8:45:00,214357,0,0
11/07/2019,9:00:00,214357,0,0
11/07/2019,9:15:00,214357,0,0
11/07/2019,9:30:00,214357,0,0
11/07/2019,9:45:00,214357,0,0
11/07/2019,10:00:00,214357,0,0
11/07/2019,10:15:00,214357,0,0
11/07/2019,10:30:00,214357,0,0
11/07/2019,10:45:00,214357,0,0
11/07/2019,11:00:00,214357,0,0
11/07/2019,11:15:00,214357,0,0
11/07/2019,11:30:00,214357,0,0
11/07/2019,11:45:00,214357,0,0
11/07/2019,12:00:00,214357,0,0
11/07/2019,12:15:00,214357,0,0
11/07/2019,12:30:00,214357,0,0
11/07/2019,12:45:00,214357,0,0
11/07/2019,13:00:00,214357,0,0
11/07/2019,13:15:00,214357,0,0
11/07/2019,13:30:00,214357,0,0
11/07/2019,13:45:00,214357,0,0
11/07/2019,14:00:00,214357,0,0
11/07/2019,14:15:00,214357,0,0
11/07/2019,14:30:00,214357,0,0
11/07/2019,14:45:00,214357,0,0
11/07/2019,15:00:00,214357,0,0
11/07/2019,15:15:00,214357,0,0
11/07/2019,15:30:00,214357,0,0
11/07/2019,15:45:00,214357,0,0
11/07/2019,16:00:00,214357,0,0
11/07/2019,16:15:00,214357,0,0
11/07/2019,16:30:00,214357,0,0
11/07/2019,16:45:00,214357,0,0
11/07/2019,17:00:00,214357,0,0
11/07/2019,17:15:00,214357,0,0
11/07/2019,17:30:00,214357,0,0
11/07/2019,17:45:00,214357,0,0
11/07/2019,18:00:00,214357,0,0
11/07/2019,18:15:00,214357,0,0
11/07/2019,18:30:00,214357,0,0
11/07/2019,18:45:00,214357,0,0
11/07/2019,19:00:00,214357,0,0
11/07/2019,19:15:00,214357,0,0
11/07/2019,19:30:00,214357,0,0
11/07/2019,19:45:00,214357,0,0
11/07/2019,20:00:00,214357,0,0
11/07/2019,20:15:00,214357,0,0
11/07/2019,20:30:00,214357,0,0
11/07/2019,20:45:00,214357,0,0
11/07/2019,21:00:00,214357,0,0
11/07/2019,21:15:00,214357,0,0
11/07/2019,21:30:00,214357,0,0
11/07/2019,21:45:00,214357,0,0
11/07/2019,22:00:00,214357,0,0
11/07/2019,22:15:00,214357,0,0
11/07/2019,22:30:00,214357,0,0
11/07/2019,22:45:00,214357,0,0
11/07/2019,23:00:00,214357,0,0
11/07/2019,23:15:00,214357,0,0
11/07/2019,23:30:00,214357,0,0
11/07/2019,23:45:00,214357,0,0
12/07/2019,0:00:00,214357,0,0
12/07/2019,0:15:00,214357,0,0
12/07/2019,0:30:00,214357,0,0
12/07/2019,0:45:00,214357,0,0
12/07/2019,1:00:00,214357,0,0
12/07/2019,1:15:00,214357,0,0
12/07/2019,1:30:00,214357,0,0
12/07/2019,1:45:00,214357,0,0
12/07/2019,2:00:00,214357,0,0
12/07/2019,2:15:00,214357,0,0
12/07/2019,2:30:00,214357,0,0
12/07/2019,2:45:00,214357,0,0
12/07/2019,3:00:00,214357,0,0
12/07/2019,3:15:00,214357,0,0
12/07/2019,3:30:00,214357,0,0
12/07/2019,3:45:00,214357,0,0
12/07/2019,4:00:00,214357,0,0
12/07/2019,4:15:00,214357,0,0
12/07/2019,4:30:00,214357,0,0
12/07/2019,4:45:00,214357,0,0
12/07/2019,5:00:00,214357,0,0
12/07/2019,5:15:00,214357,0,0
12/07/2019,5:30:00,214357,0,0
12/07/2019,5:45:00,214357,0,0
12/07/2019,6:00:00,214357,0,0
12/07/2019,6:15:00,214357,0,0
12/07/2019,6:30:00,214357,0,0
12/07/2019,6:45:00,214357,0,0
12/07/2019,7:00:00,214357,0,0
12/07/2019,7:15:00,214357,0,0
12/07/2019,7:30:00,214357,0,0
12/07/2019,7:45:00,214357,0,0
12/07/2019,8:00:00,214357,0,0
12/07/2019,8:15:00,214357,0,0
12/07/2019,8:30:00,214357,0,0
12/07/2019,8:45:00,214357,0,0
12/07/2019,9:00:00,214357,0,0
12/07/2019,9:15:00,214357,0,0
12/07/2019,9:30:00,214357,0,0
12/07/2019,9:45:00,214357,0,0
12/07/2019,10:00:00,214357,0,0
12/07/2019,10:15:00,214357,0,0
12/07/2019,10:30:00,214357,0,0
12/07/2019,10:45:00,214357,0,0
12/07/2019,11:00:00,214357,0,0
12/07/2019,11:15:00,214357,0,0
12/07/2019,11:30:00,214357,0,0
12/07/2019,11:45:00,214357,0,0
12/07/2019,12:00:00,214357,0,0
12/07/2019,12:15:00,214357,0,0
12/07/2019,12:30:00,214357,0,0
12/07/2019,12:45:00,214357,0,0
12/07/2019,13:00:00,214357,0,0
12/07/2019,13:15:00,214357,0,0
12/07/2019,13:30:00,214357,0,0
12/07/2019,13:45:00,214357,0,0
12/07/2019,14:00:00,214357,0,0
12/07/2019,14:15:00,214357,0,0
12/07/2019,14:30:00,214357,0,0
12/07/2019,14:45:00,214357,0,0
12/07/2019,15:00:00,214357,0,0
12/07/2019,15:15:00,214357,0,0
12/07/2019,15:30:00,214357,0,0
12/07/2019,15:45:00,214357,0,0
12/07/2019,16:00:00,214357,0,0
12/07/2019,16:15:00,214357,0,0
12/07/2019,16:30:00,214357,0,0
12/07/2019,16:45:00,214357,0,0
12/07/2019,17:00:00,214357,0,0
12/07/2019,17:15:00,214357,0,0
12/07/2019,17:30:00,214357,0,0
12/07/2019,17:45:00,214357,0,0
12/07/2019,18:00:00,214357,0,0
12/07/2019,18:15:00,214357,0,0
12/07/2019,18:30:00,214357,0,0
12/07/2019,18:45:00,214357,0,0
12/07/2019,19:00:00,214357,0,0
12/07/2019,19:15:00,214357,0,0
12/07/2019,19:30:00,214357,0,0
12/07/2019,19:45:00,214357,0,0
12/07/2019,20:00:00,214357,0,0
12/07/2019,20:15:00,214357,0,0
12/07/2019,20:30:00,214357,0,0
12/07/2019,20:45:00,214357,0,0
12/07/2019,21:00:00,214357,0,0
12/07/2019,21:15:00,214357,0,0
12/07/2019,21:30:00,214357,0,0
12/07/2019,21:45:00,214357,0,0
12/07/2019,22:00:00,214357,0,0
12/07/2019,22:15:00,214357,0,0
12/07/2019,22:30:00,214357,0,0
12/07/2019,22:45:00,214357,0,0
12/07/2019,23:00:00,214357,0,0
12/07/2019,23:15:00,214357,0,0
12/07/2019,23:30:00,214357,0,0
12/07/2019,23:45:00,214357,0,0
13/07/2019,0:00:00,214357,0,0
13/07/2019,0:15:00,214357,0,0
13/07/2019,0:30:00,214357,0,0
13/07/2019,0:45:00,214357,0,0
13/07/2019,1:00:00,214357,0,0
13/07/2019,1:15:00,214357,0,0
13/07/2019,1:30:00,214357,0,0
13/07/2019,1:45:00,214357,0,0
13/07/2019,2:00:00,214357,0,0
13/07/2019,2:15:00,214357,0,0
13/07/2019,2:30:00,214357,0,0
13/07/2019,2:45:00,214357,0,0
13/07/2019,3:00:00,214357,0,0
13/07/2019,3:15:00,214357,0,0
13/07/2019,3:30:00,214357,0,0
13/07/2019,3:45:00,214357,0,0
13/07/2019,4:00:00,214357,0,0
13/07/2019,4:15:00,214357,0,0
13/07/2019,4:30:00,214357,0,0
13/07/2019,4:45:00,214357,0,0
13/07/2019,5:00:00,214357,0,0
13/07/2019,5:15:00,214357,0,0
13/07/2019,5:30:00,214357,0,0
13/07/2019,5:45:00,214357,0,0
13/07/2019,6:00:00,214357,0,0
13/07/2019,6:15:00,214357,0,0
13/07/2019,6:30:00,214357,0,0
13/07/2019,6:45:00,214357,0,0
13/07/2019,7:00:00,214357,0,0
13/07/2019,7:15:00,214357,0,0
13/07/2019,7:30:00,214357,0,0
13/07/2019,7:45:00,214357,0,0
13/07/2019,8:00:00,214357,0,0
13/07/2019,8:15:00,214357,0,0
13/07/2019,8:30:00,214357,0,0
13/07/2019,8:45:00,214357,0,0
13/07/2019,9:00:00,214357,0,0
13/07/2019,9:15:00,214357,0,0
13/07/2019,9:30:00,214357,0,0
13/07/2019,9:45:00,214357,0,0
13/07/2019,10:00:00,214357,0,0
13/07/2019,10:15:00,214357,0,0
13/07/2019,10:30:00,214357,0,0
13/07/2019,10:45:00,214357,0,0
13/07/2019,11:00:00,214357,0,0
13/07/2019,11:15:00,214357,0,0
13/07/2019,11:30:00,214357,0,0
13/07/2019,11:45:00,214357,0,0
13/07/2019,12:00:00,214357,0,0
13/07/2019,12:15:00,214357,0,0
13/07/2019,12:30:00,214357,0,0
13/07/2019,12:45:00,214357,0,0
13/07/2019,13:00:00,214357,0,0
13/07/2019,13:15:00,214357,0,0
13/07/2019,13:30:00,214357,0,0
13/07/2019,13:45:00,214357,0,0
13/07/2019,14:00:00,214357,0,0
13/07/2019,14:15:00,214357,0,0
13/07/2019,14:30:00,214357,0,0
13/07/2019,14:45:00,214357,0,0
13/07/2019,15:00:00,214357,0,0
13/07/2019,15:15:00,214357,0,0
13/07/2019,15:30:00,214357,0,0
13/07/2019,15:45:00,214357,0,0
13/07/2019,16:00:00,214357,0,0
13/07/2019,16:15:00,214357,0,0
13/07/2019,16:30:00,214357,0,0
13/07/2019,16:45:00,214357,0,0
13/07/2019,17:00:00,214357,0,0
13/07/2019,17:15:00,214357,0,0
13/07/2019,17:30:00,214357,0,0
13/07/2019,17:45:00,214357,0,0
13/07/2019,18:00:00,214357,0,0
13/07/2019,18:15:00,214357,0,0
13/07/2019,18:30:00,214357,0,0
13/07/2019,18:45:00,214357,0,0
13/07/2019,19:00:00,214357,0,0
13/07/2019,19:15:00,214357,0,0
13/07/2019,19:30:00,214357,0,0
13/07/2019,19:45:00,214357,0,0
13/07/2019,20:00:00,214357,0,0
13/07/2019,20:15:00,214357,0,0
13/07/2019,20:30:00,214357,0,0
13/07/2019,20:45:00,214357,0,0
13/07/2019,21:00:00,214357,0,0
13/07/2019,21:15:00,214357,0,0
13/07/2019,21:30:00,214357,0,0
13/07/2019,21:45:00,214357,0,0
13/07/2019,22:00:00,214357,0,0
13/07/2019,22:15:00,214357,0,0
13/07/2019,22:30:00,214357,0,0
13/07/2019,22:45:00,214357,0,0
13/07/2019,23:00:00,214357,0,0
13/07/2019,23:15:00,214357,0,0
13/07/2019,23:30:00,214357,0,0
13/07/2019,23:45:00,214357,0,0
14/07/2019,0:00:00,214357,0,0
14/07/2019,0:15:00,214357,0,0
14/07/2019,0:30:00,214357,0,0
14/07/2019,0:45:00,214357,0,0
14/07/2019,1:00:00,214357,0,0
14/07/2019,1:15:00,214357,0,0
14/07/2019,1:30:00,214357,0,0
14/07/2019,1:45:00,214357,0,0
14/07/2019,2:00:00,214357,0,0
14/07/2019,2:15:00,214357,0,0
14/07/2019,2:30:00,214357,0,0
14/07/2019,2:45:00,214357,0,0
14/07/2019,3:00:00,214357,0,0
14/07/2019,3:15:00,214357,0,0
14/07/2019,3:30:00,214357,0,0
14/07/2019,3:45:00,214357,0,0
14/07/2019,4:00:00,214357,0,0
14/07/2019,4:15:00,214357,0,0
14/07/2019,4:30:00,214357,0,0
14/07/2019,4:45:00,214357,0,0
14/07/2019,5:00:00,214357,0,0
14/07/2019,5:15:00,214357,0,0
14/07/2019,5:30:00,214357,0,0
14/07/2019,5:45:00,214357,0,0
14/07/2019,6:00:00,214357,0,0
14/07/2019,6:15:00,214357,0,0
14/07/2019,6:30:00,214357,0,0
14/07/2019,6:45:00,214357,0,0
14/07/2019,7:00:00,214357,0,0
14/07/2019,7:15:00,214357,0,0
14/07/2019,7:30:00,214357,0,0
14/07/2019,7:45:00,214357,0,0
14/07/2019,8:00:00,214357,0,0
14/07/2019,8:15:00,214357,0,0
14/07/2019,8:30:00,214357,0,0
14/07/2019,8:45:00,214357,0,0
14/07/2019,9:00:00,214357,0,0
14/07/2019,9:15:00,214357,0,0
14/07/2019,9:30:00,214357,0,0
14/07/2019,9:45:00,214357,0,0
14/07/2019,10:00:00,214357,0,0
14/07/2019,10:15:00,214357,0,0
14/07/2019,10:30:00,214357,0,0
14/07/2019,10:45:00,214357,0,0
14/07/2019,11:00:00,214357,0,0
14/07/2019,11:15:00,214357,0,0
14/07/2019,11:30:00,214357,0,0
14/07/2019,11:45:00,214357,0,0
14/07/2019,12:00:00,214357,0,0
14/07/2019,12:15:00,214357,0,0
14/07/2019,12:30:00,214357,0,0
14/07/2019,12:45:00,214357,0,0
14/07/2019,13:00:00,214357,0,0
14/07/2019,13:15:00,214357,0,0
14/07/2019,13:30:00,214357,0,0
14/07/2019,13:45:00,214357,0,0
14/07/2019,14:00:00,214357,0,0
14/07/2019,14:15:00,214357,0,0
14/07/2019,14:30:00,214357,0,0
14/07/2019,14:45:00,214357,0,0
14/07/2019,15:00:00,214357,0,0
14/07/2019,15:15:00,214357,0,0
14/07/2019,15:30:00,214357,0,0
14/07/2019,15:45:00,214357,0,0
14/07/2019,16:00:00,214357,0,0
14/07/2019,16:15:00,214357,0,0
14/07/2019,16:30:00,214357,0,0
14/07/2019,16:45:00,214357,0,0
14/07/2019,17:00:00,214357,0,0
14/07/2019,17:15:00,214357,0,0
14/07/2019,17:30:00,214357,0,0
14/07/2019,17:45:00,214357,0,0
14/07/2019,18:00:00,214357,0,0
14/07/2019,18:15:00,214357,0,0
14/07/2019,18:30:00,214357,0,0
14/07/2019,18:45:00,214357,0,0
14/07/2019,19:00:00,214357,0,0
14/07/2019,19:15:00,214357,0,0
14/07/2019,19:30:00,214357,0,0
14/07/2019,19:45:00,214357,0,0
14/07/2019,20:00:00,214357,0,0
14/07/2019,20:15:00,214357,0,0
14/07/2019,20:30:00,214357,0,0
14/07/2019,20:45:00,214357,0,0
14/07/2019,21:00:00,214357,0,0
14/07/2019,21:15:00,214357,0,0
14/07/2019,21:30:00,214357,0,0
14/07/2019,21:45:00,214357,0,0
14/07/2019,22:00:00,214357,0,0
14/07/2019,22:15:00,214357,0,0
14/07/2019,22:30:00,214357,0,0
14/07/2019,22:45:00,214357,0,0
14/07/2019,23:00:00,214357,0,0
14/07/2019,23:15:00,214357,0,0
14/07/2019,23:30:00,214357,0,0
14/07/2019,23:45:00,214357,0,0
15/07/2019,0:00:00,214357,0,0
15/07/2019,0:15:00,214357,0,0
15/07/2019,0:30:00,214357,0,0
15/07/2019,0:45:00,214357,0,0
15/07/2019,1:00:00,214357,0,0
15/07/2019,1:15:00,214357,0,0
15/07/2019,1:30:00,214357,0,0
15/07/2019,1:45:00,214357,0,0
15/07/2019,2:00:00,214357,0,0
15/07/2019,2:15:00,214357,0,0
15/07/2019,2:30:00,214357,0,0
15/07/2019,2:45:00,214357,0,0
15/07/2019,3:00:00,214357,0,0
15/07/2019,3:15:00,214357,0,0
15/07/2019,3:30:00,214357,0,0
15/07/2019,3:45:00,214357,0,0
15/07/2019,4:00:00,214357,0,0
15/07/2019,4:15:00,214357,0,0
15/07/2019,4:30:00,214357,0,0
15/07/2019,4:45:00,214357,0,0
15/07/2019,5:00:00,214357,0,0
15/07/2019,5:15:00,214357,0,0
15/07/2019,5:30:00,214357,0,0
15/07/2019,5:45:00,214357,0,0
15/07/2019,6:00:00,214357,0,0
15/07/2019,6:15:00,214357,0,0
15/07/2019,6:30:00,214357,0,0
15/07/2019,6:45:00,214357,0,0
15/07/2019,7:00:00,214357,0,0
15/07/2019,7:15:00,214357,0,0
15/07/2019,7:30:00,214357,0,0
15/07/2019,7:45:00,214357,0,0
15/07/2019,8:00:00,214357,0,0
15/07/2019,8:15:00,214357,0,0
15/07/2019,8:30:00,214357,0,0
15/07/2019,8:45:00,214357,0,0
15/07/2019,9:00:00,214357,0,0
15/07/2019,9:15:00,214357,0,0
15/07/2019,9:30:00,214357,0,0
15/07/2019,9:45:00,214357,0,0
15/07/2019,10:00:00,214357,0,0
15/07/2019,10:15:00,214357,0,0
15/07/2019,10:30:00,214357,0,0
15/07/2019,10:45:00,214357,0,0
15/07/2019,11:00:00,214357,0,0
15/07/2019,11:15:00,214357,0,0
15/07/2019,11:30:00,214357,0,0
15/07/2019,11:45:00,214357,0,0
15/07/2019,12:00:00,214357,0,0
15/07/2019,12:15:00,214357,0,0
15/07/2019,12:30:00,214357,0,0
15/07/2019,12:45:00,214357,0,0
15/07/2019,13:00:00,214357,0,0
15/07/2019,13:15:00,214357,0,0
15/07/2019,13:30:00,214357,0,0
15/07/2019,13:45:00,214357,0,0
15/07/2019,14:00:00,214357,0,0
15/07/2019,14:15:00,214357,0,0
15/07/2019,14:30:00,214357,0,0
15/07/2019,14:45:00,214357,0,0
15/07/2019,15:00:00,214357,0,0
15/07/2019,15:15:00,214357,0,0
15/07/2019,15:30:00,214357,0,0
15/07/2019,15:45:00,214357,0,0
15/07/2019,16:00:00,214357,0,0
15/07/2019,16:15:00,214357,0,0
15/07/2019,16:30:00,214357,0,0
15/07/2019,16:45:00,214357,0,0
15/07/2019,17:00:00,214357,0,0
15/07/2019,17:15:00,214357,0,0
15/07/2019,17:30:00,214357,0,0
15/07/2019,17:45:00,214357,0,0
15/07/2019,18:00:00,214357,0,0
15/07/2019,18:15:00,214357,0,0
15/07/2019,18:30:00,214357,0,0
